Track,Name,Theme,Type,Title,Paper,Slide,Video,Organization,Country
Workshop,OARS,Recommendation,Invited,Large Language Models for Generative Recommendation,,,,,
Workshop,OARS,Recommendation,Contributed,Active Learning with a Budget to Rank Candidates Rated by Disjoint Assessors,https://oars-workshop.github.io/papers/tushar2023.pdf,,,,
Workshop,OARS,Recommendation,Contributed,Evaluating Federated Session-Based Recommender Systems,https://oars-workshop.github.io/papers/marko2023.pdf,,,,
Workshop,OARS,Recommendation,Invited,"Incremental Training, Session-based Recommendation, and System Level Approaches to Online Recommender Systems",,,,,
Workshop,OARS,Recommendation,Invited,User Centric Recommender Systems,,,,,
Workshop,OARS,Recommendation,Contributed,FLASH4Rec: A Lightweight and Sparsely Activated Transformer for User-Aware Sequential Recommendation,https://oars-workshop.github.io/papers/yachen2023.pdf,,,,
Workshop,OARS,Recommendation,Contributed,Empowering recommender systems using automatically generated Knowledge Graphs and Reinforcement Learning,https://oars-workshop.github.io/papers/verma2023.pdf,,,University of Galway Ireland,
Workshop,OARS,Recommendation,Invited,Exploring the Potential of Large Language Models (LLMs) in Learning on Graphs,https://arxiv.org/pdf/2307.03393.pdf,https://oars-workshop.github.io/slides/Jilian_LLMs-LoG.pdf,,,
Workshop,OARS,Recommendation,Contributed,"Decision Layer: Enhancing Multi-model, Multi Timescale Decisions on the Fly with Online Feedback",https://oars-workshop.github.io/papers/meet2023.pdf,,,Amazon Ads,India
Workshop,AdKDD,Recommendation,,TwERC: High Performance Ensembled Candidate Generation for Ads Recommendation at Twitter,https://arxiv.org/pdf/2302.13915.pdf,,,Twitter,USA
Workshop,AdKDD,Recommendation,,Advancing Ad Auction Realism: Practical Insights & Modeling Implications,https://arxiv.org/pdf/2307.11732.pdf,,,Amazon Ads,USA
Workshop,AdKDD,Recommendation,,Staging E-Commerce Products for Online Advertising using Retrieval Assisted Image Generation,https://arxiv.org/pdf/2307.15326.pdf,,,Yahoo Research,USA
Workshop,AdKDD,Recommendation,Keynote,YouTube Ad Recommendations,,,https://youtu.be/dNfRH0CbFGk?t=3890,YouTube Ads,USA
Workshop,AdKDD,Recommendation,,AdaEnsemble: Learning Adaptively Sparse Structured Ensemble Network for Click-Through Rate Prediction,https://arxiv.org/pdf/2301.08353.pdf,,,Credit Karma,USA
Workshop,AdKDD,Recommendation,Invited Talk,Measuring Incrementality in LinkedIn's Job Marketplace,,,,,
Workshop,AdKDD,Recommendation,,Towards the Better Ranking Consistency: A Multi-task Learning Framework for Early Stage Ads Ranking,https://arxiv.org/pdf/2307.11096.pdf,,,"Meta Platforms, Inc.",USA
Workshop,AdKDD,Recommendation,,Hierarchical Queries Optimization for the Attribution Reporting API,,,,,
Workshop,AdKDD,Recommendation,,Practical Budget Pacing Algorithms and Simulation Test Bed for eBay Marketplace Sponsored Search,https://gligorijevic.science/wp-content/uploads/2023/06/nguyenAdKDD23.pdf,,,eBay Inc.,USA
Workshop,AdKDD,Recommendation,,Private Ad Modeling with DP-SGD,https://arxiv.org/pdf/2211.11896.pdf,,,Google,USA
Workshop,AdKDD,Recommendation,,Scaling Generative Pre-training for User Ad Activity Sequences,https://assets.amazon.science/b7/42/03be071743d5a57cb1656e6caa34/scaling-generative-pre-training-for-user-ad-activity-sequences.pdf,,,Amazon Ads,USA
Workshop,EvalRS,Recommendation,,Realistic but Non-Identifiable Synthetic User Data Generation,https://reclist.io/kdd2023-cup/papers/EVALRS2023_paper_1.pdf,,,Google Research,USA
Workshop,EvalRS,Recommendation,,Disentangling the Performance Puzzle of Multimodal-aware Recommender Systems,https://reclist.io/kdd2023-cup/papers/EVALRS2023_paper_2.pdf,,,,
Workshop,EvalRS,Recommendation,,Bridging Offline-Online Evaluation with a Time-dependent and Popularity Bias-free Offline Metric for Recommenders,https://reclist.io/kdd2023-cup/papers/EVALRS2023_paper_3.pdf,,,,
Workshop,EvalRS,Recommendation,,Evaluating Recommendation Systems Using the Power of Embeddings,https://reclist.io/kdd2023-cup/papers/EVALRS2023_paper_4.pdf,,,,
Workshop,EvalRS,Recommendation,,Metric@CustomerN: Evaluating Metrics at a Customer Level in E-Commerce,https://reclist.io/kdd2023-cup/papers/EVALRS2023_paper_5.pdf,,,GrubHub,USA
ADS,,Federated Learning and Marketing,Paper,Neural Insights for Digital Marketing Content Design,https://arxiv.org/pdf/2302.01416.pdf,,,"Amazon.com, Inc",USA
ADS,,Federated Learning and Marketing,,FedMultimodal: A Benchmark for Multimodal Federated Learning,https://arxiv.org/pdf/2306.09486.pdf,,,,USA
ADS,,Federated Learning and Marketing,,UA-FedRec: Untargeted Attack on Federated News Recommendation,https://arxiv.org/pdf/2202.06701.pdf,,,Microsoft Research Asia,China
ADS,,Federated Learning and Marketing,,PrivateRec: Differentially Private Model Training and Online Serving for Federated News Recommendation,https://arxiv.org/pdf/2204.08146.pdf,,,,China
ADS,,Federated Learning and Marketing,,Explicit Feature Interaction-Aware Uplift Network for Online Marketing,https://arxiv.org/pdf/2306.00315.pdf,,,,China
ADS,,Federated Learning and Marketing,,FS-REAL: Towards Real-World Cross-Device Federated Learning,https://arxiv.org/pdf/2303.13363.pdf,,,Alibaba Group,China
ADS,,Federated Learning and Marketing,,Revisiting Personalized Federated Learning: Robustness Against Backdoor Attacks,https://arxiv.org/pdf/2302.01677.pdf,,,Alibaba Group,China
ADS,,Graph Learning I,,Binary Embedding-Based Retrieval at Tencent,https://arxiv.org/pdf/2302.08714.pdf,,,Tencent,China
ADS,,Graph Learning I,,Learning Joint Relational Co-Evolution in Spatial-Temporal Knowledge Graph for SMEs Supply Chain Prediction,,,,,China
ADS,,Graph Learning I,,LibAUC: A Deep Learning Library for X-Risk Optimization,https://arxiv.org/pdf/2306.03065.pdf,,,,
ADS,,Graph Learning I,,HardSATGEN: Understanding the Difficulty of Hard SAT Formula Generation and A Strong Structure-Hardness-Aware Baseline,https://dl.acm.org/doi/pdf/10.1145/3580305.3599837,,,Huawei Noah’s Ark Lab,China
ADS,,Graph Learning I,,Evolve Path Tracer: Early Detection of Malicious Addresses in Cryptocurrency,https://arxiv.org/pdf/2301.05412.pdf,,,,Singapore
ADS,,Graph Learning I,,A Look into Causal Effects under Entangled Treatment in Graphs: Investigating the Impact of Contact on MRSA Infection,https://arxiv.org/pdf/2307.08237.pdf,,,,
ADS,,Graph Learning I,,Robust Multimodal Failure Detection for Microservice Systems,https://arxiv.org/pdf/2305.18985.pdf,,,,China
ADS,,Multi-Scenario and Multi-Task,,Hierarchical Projection Enhanced Multi-behavior Recommendation,https://dl.acm.org/doi/pdf/10.1145/3580305.3599838,,,Huawei Noah’s Ark Lab,China
ADS,,Multi-Scenario and Multi-Task,Best Paper Award,Improving Training Stability for Multitask Ranking Models in Recommender Systems,https://arxiv.org/pdf/2302.09178.pdf,,,Google Deepmind,USA
ADS,,Multi-Scenario and Multi-Task,,Scenario-Adaptive Feature Interaction for Click-Through Rate Prediction,https://dl.acm.org/doi/pdf/10.1145/3580305.3599936,,,Tencent,China
ADS,,Multi-Scenario and Multi-Task,,AdaTT: Adaptive Task-to-Task Fusion Network for Multitask Learning in Recommendations,https://arxiv.org/pdf/2304.04959.pdf,,,Meta AI,USA
ADS,,Multi-Scenario and Multi-Task,,Macular: a Multi-Task Adversarial Framework for Cross-Lingual Natural Language Understanding,,,,,
ADS,,Multi-Scenario and Multi-Task,,SAMD: An Industrial Framework for Heterogeneous Multi-Scenario Recommendation,,,https://www.youtube.com/watch?v=rDbMBTk3BQw,Ant Group,China
ADS,,Multi-Scenario and Multi-Task,,NEON: Living Needs Prediction System in Meituan,https://arxiv.org/pdf/2307.16644.pdf,,,Meituan,China
ADS,,Search and Information Retrieval,,Multi-Label Learning to Rank through Multi-Objective Optimization,https://arxiv.org/pdf/2207.03060.pdf,,,Amazon.com Inc,USA
ADS,,Search and Information Retrieval,,PDAS: A Practical Distributed ADMM System for Large-Scale Linear Programming Problems at Alipay,https://dl.acm.org/doi/pdf/10.1145/3580305.3599883,,,Ant Group,China
ADS,,Search and Information Retrieval,,Semantic-Enhanced Differentiable Search Index Inspired by Learning Strategies,https://arxiv.org/pdf/2305.15115.pdf,,,Baidu Inc,China
ADS,,Search and Information Retrieval,,Rewiring Police Officer Training Networks to Reduce Forecasted Use of Force,,,,,
ADS,,Search and Information Retrieval,,Learning Discrete Document Representations in Web Search,,,https://www.youtube.com/watch?v=KV8ERmtZtkw,Baidu Inc,China
ADS,,Search and Information Retrieval,,Learning to Discover Various Simpson’s Paradoxes,,,https://www.youtube.com/watch?v=zJbWxlQ4lyU,Ant Group,China
ADS,,Search and Information Retrieval,,WebGLM: Towards an Efficient Web-Enhanced Question Answering System with Human Preference,https://arxiv.org/pdf/2306.07906.pdf,,,,China
ADS,,Transportation I,,CBLab: Supporting the Training of Large-Scale Traffic Control Policies with Scalable Traffic Simulation,,,,,
ADS,,Transportation I,,M3PT: A Multi-Modal Model for POI Tagging,https://arxiv.org/pdf/2306.10079.pdf,,,Alibaba Group,China
ADS,,Transportation I,,Understanding the Semantics of GPS-Based Trajectories for Road Closure Detection,,,,,
ADS,,Transportation I,,A Data-Driven Region Generation Framework for Spatiotemporal Transportation Service Management,,,,,
ADS,,Transportation I,,Hierarchical Reinforcement Learning for Dynamic Autonomous Vehicle Navigation at Intelligent Intersections,,,,,
ADS,,Transportation I,,Road Planning for Slums via Deep Reinforcement Learning,,,,,
ADS,,Transportation I,,Large-Scale Urban Cellular Traffic Generation via Knowledge-Enhanced GANs with Multi-Periodic Patterns,,,,,
ADS,,Finance,,Demystifying Fraudulent Transactions and Illicit Nodes in the Bitcoin Network for Financial Forensics,,,,,
ADS,,Finance,,Generating Synergistic Formulaic Alpha Collections via Reinforcement Learning,,,,,
ADS,,Finance,,Commonsense Knowledge Graph towards Supper APP and Its Applications in Alipay,,,,,
ADS,,Finance,,NFT-Based Data Marketplace with Digital Watermarking,,,,,
ADS,,Finance,,Learning Multi-Agent Intention-Aware Communication for Optimal Multi-Order Execution in Finance,,,,,
ADS,,Finance,,Diga: Guided Diffusion Model for Graph Recovery in Anti-Money Laundering,,,,,
ADS,,Graph Learning 2,,DNet: Distributional Network for Distributional Individualized Treatment Effects,,,,,
ADS,,Graph Learning 2,,DGI: An Easy and Efficient Framework for GNN Model Evaluation,,,,,
ADS,,Graph Learning 2,,Learning Multivariate Hawkes Process via Graph Recurrent Neural Network,,,,,
ADS,,Graph Learning 2,,HUGE: Huge Unsupervised Graph Embeddings with TPUs,,,,,
ADS,,Graph Learning 2,,Impact-Oriented Contextual Scholar Profiling using Self-Citation Graphs,,,,,
ADS,,Graph Learning 2,,"IGB: Addressing The Gaps In Labeling, Features, Heterogeneity, and Size of Public Graph Datasets for Deep Learning Research",,,,,
ADS,,Online Games,,ShuttleSet: A Human-Annotated Stroke-Level Singles Dataset for Badminton Tactical Analysis,,,,,
ADS,,Online Games,,A Data-Driven Decision Support Framework for Player Churn Analysis in Online Games,,,,,
ADS,,Online Games,,Automatic Music Playlist Generation via Simulation-Based Reinforcement Learning,,,,,
ADS,,Online Games,,Ball Trajectory Inference from Multi-Agent Sports Contexts Using Set Transformer and Hierarchical Bi-LSTM,,,,,
ADS,,Online Games,,un-xPass: Measuring Soccer Player’s Creativity,,,,,
ADS,,Online Games,,"An Interpretable, Flexible, and Interactive Probabilistic Framework for Melody Generation",,,,,
ADS,,Search Engine,,Optimizing Airbnb Search Journey with Multi-Task Learning,https://arxiv.org/pdf/2305.18431.pdf,,,Airbnb Inc.,USA
ADS,,Search Engine,,Towards Disentangling Relevance and Bias in Unbiased Learning to Rank,https://arxiv.org/pdf/2212.13937.pdf,,,Google Research,USA
ADS,,Search Engine,,Balancing Approach for Causal Inference at Scale,,,,,
ADS,,Search Engine,,RankFormer: Listwise Learning-to-Rank using Listwide Labels,https://arxiv.org/pdf/2306.05808.pdf,,,Amazon,USA
ADS,,Search Engine,,S2phere: Semi-Supervised Pre-training for Web Search over Heterogeneous Learning to Rank Data,https://dl.acm.org/doi/pdf/10.1145/3580305.3599935,,https://www.youtube.com/watch?v=_Khb0rKdaL0,Baidu Inc,China
ADS,,Search Engine,,"Web-Scale Academic Name Disambiguation: the WhoIsWho Benchmark, Leaderboard, and Toolkit",https://arxiv.org/pdf/2302.11848.pdf,,,Zhipu.AI,China
ADS,,Graph Learning III,,MIDLG: Mutual Information based Dual Level GNN for Transaction Fraud Complaint Verification,,,,,
ADS,,Graph Learning III,,Removing Camouflage and Revealing Collusion: Leveraging Gang-Crime Pattern in Fraudster Detection,,,,,
ADS,,Graph Learning III,,Detecting Vulnerable Nodes in Urban Infrastructure Interdependent Network,,,,,
ADS,,Graph Learning III,,Graph Learning in Physical-Informed Mesh-Reduced Space for Real-World Dynamic Systems,,,,,
ADS,,Graph Learning III,,A Multi-Stage Framework for Online Bonus Allocation Based on Constrained User Intent Detection,https://dl.acm.org/doi/pdf/10.1145/3580305.3599764,,,Meituan Group,China
ADS,,Graph Learning III,,Knowledge Based Prohibited Item Detection on Heterogeneous Risk Graphs,,,https://www.youtube.com/watch?v=9z4ZED3HTas,Alibaba Group,China
ADS,,Personalization,,A Personalized Automated Bidding Framework for Fairness-Aware Online Advertising,https://dl.acm.org/doi/pdf/10.1145/3580305.3599765,,https://www.youtube.com/watch?v=uOrqHngy2eY,Alibaba Group,China
ADS,,Personalization,,A Feature-Based Coalition Game Framework with Privileged Knowledge Transfer for User-Tag Profile Modeling,,,,,
ADS,,Personalization,,PASS: Personalized Advertiser-Aware Sponsored Search,,,,,
ADS,,Personalization,,PlanRanker: Towards Personalized Ranking of Train Transfer Plans,https://dl.acm.org/doi/pdf/10.1145/3580305.3599887,,https://www.youtube.com/watch?v=rBLRaEFmbhA,Alibaba Group,China
ADS,,Personalization,,TransAct: Transformer-based Realtime User Action Model for Recommendation at Pinterest,https://arxiv.org/pdf/2306.00248.pdf,,,Pinterest,USA
ADS,,Personalization,,PEPNet: Parameter and Embedding Personalized Network for Infusing with Personalized Prior Information,https://arxiv.org/pdf/2302.01115.pdf,,,Kuaishou Technology,China
ADS,,Social Media,,MUSER: A Multi-Step Evidence Retrieval Enhancement Framework for Fake News Detection,https://arxiv.org/pdf/2306.13450.pdf,,,,
ADS,,Social Media,,TrustGeo: Uncertainty-Aware Dynamic Graph Learning for Trustworthy IP Geolocation,,,,,
ADS,,Social Media,,TwHIN-BERT: A Socially-Enriched Pre-trained Language Model for Multilingual Tweet Representations at Twitter,,,,,
ADS,,Social Media,,Fair Multilingual Vandalism Detection System for Wikipedia,,,,,
ADS,,Social Media,,Analysis of COVID-19 Offensive Tweets and Their Targets,,,,,
ADS,,Social Media,,SMILE: Evaluation and Domain Adaptation for Social Media Language Understanding,,,,,
ADS,,Social Media,,Constrained Social Community Recommendation,https://dl.acm.org/doi/pdf/10.1145/3580305.3599793,,,Tencent,China
ADS,,Advertising I,,Off-Policy Learning-to-Bid with AuctionGym,,,https://www.youtube.com/watch?v=YK0SELxAWeo,Amazon,UK
ADS,,Advertising I,,Multi-Factor Sequential Re-Ranking with Perception-Aware Diversification,https://arxiv.org/pdf/2305.12420.pdf,,,Alibaba Group,China
ADS,,Advertising I,,Joint Optimization of Ranking and Calibration with Contextualized Hybrid Model,https://arxiv.org/pdf/2208.06164.pdf,,,Alibaba Group,China
ADS,,Advertising I,,Capturing Conversion Rate Fluctuation during Sales Promotions: A Novel Historical Data Reuse Approach,https://arxiv.org/pdf/2305.12837.pdf,,,Alibaba Group,China
ADS,,Advertising I,,RLTP: Reinforcement Learning to Pace for Delayed Impression Modeling in Preloaded Ads,https://arxiv.org/pdf/2302.02592.pdf,,,Alibaba Group,China
ADS,,Advertising I,,TWIN: Two-Stage Interest Network for Lifelong User Behavior Modeling in CTR Prediction at Kuaishou,https://arxiv.org/pdf/2302.02352.pdf,,,Kuaishou Technology,China
ADS,,Advertising I,,Towards Fairness in Personalized Ads Using Impression Variance aware Reinforcement Learning,https://arxiv.org/pdf/2306.03293.pdf,,,Meta,USA
ADS,,Health Care and Medicine,,Multimodal Indoor Localisation in Parkinson’s Disease for Detecting Medication Use: Observational Pilot Study in a Free-Living Setting,,,,,
ADS,,Health Care and Medicine,,Doctor Specific Tag Recommendation for Online Medical Record Management,,,,,
ADS,,Health Care and Medicine,,Expert Knowledge-Aware Image Difference Graph Representation Learning for Difference-Aware Medical Visual Question Answering,,,,,
ADS,,Health Care and Medicine,,Assisting Clinical Decisions for Scarcely Available Treatment via Disentangled Latent Representation,,,,,
ADS,,Health Care and Medicine,,Identifying Complicated Contagion Scenarios from Cascade Data,,,,,
ADS,,Health Care and Medicine,,The Missing Indicator Method: From Low to High Dimensions,,,,,
ADS,,Health Care and Medicine,,Towards Suicide Prevention from Bipolar Disorder with Temporal Symptom-Aware Multitask Learning,,,,,
ADS,,Recommendation Systems I,,Controllable Multi-Objective Re-ranking with Policy Hypernetworks,https://arxiv.org/pdf/2306.05118.pdf,,,Alibaba Group,China
ADS,,Recommendation Systems I,,M5: Multi-Modal Multi-Interest Multi-Scenario Matching for Over-the-Top Recommendation,https://dl.acm.org/doi/pdf/10.1145/3580305.3599863,,,Hulu Beijing,China
ADS,,Recommendation Systems I,,CT4Rec: Simple yet Effective Consistency Training for Sequential Recommendation,https://arxiv.org/pdf/2112.06668.pdf,,,Tencent Inc.,China
ADS,,Recommendation Systems I,,Multi-Channel Integrated Recommendation with Exposure Constraints,https://arxiv.org/pdf/2305.12319.pdf,,,Alibaba Group.,China
ADS,,Recommendation Systems I,,Graph-Based Model-Agnostic Data Subsampling for Recommendation Systems,https://arxiv.org/pdf/2305.16391.pdf,,,ByteDance,China
ADS,,Recommendation Systems I,,On-Device Integrated Re-Ranking with Heterogeneous Behavior Modeling,https://dl.acm.org/doi/pdf/10.1145/3580305.3599878,,https://www.youtube.com/watch?v=1UirlORuWgo,Huawei Noah’s Ark Lab,China
ADS,,Advertising II,,AdSEE: Investigating the Impact of Image Style Editing on Advertisement Attractiveness,,,,,
ADS,,Advertising II,,An Empirical Study of Selection Bias in Pinterest Ads Retrieval,https://dl.acm.org/doi/pdf/10.1145/3580305.3599771,,,Pinterest,USA
ADS,,Advertising II,,Deep Landscape Forecasting in Multi-Slot Real-Time Bidding,https://dl.acm.org/doi/pdf/10.1145/3580305.3599799,,https://www.youtube.com/watch?v=TsAH4947gjM,Huawei Noah’s Ark Lab,China
ADS,,Advertising II,,Extreme Multi-Label Classification for Ad Targeting using Factorization Machines,https://gligorijevic.science/wp-content/uploads/2023/06/pavlovskiKDD23.pdf,,https://www.youtube.com/watch?v=SLnMLIxJzWM,Yahoo Research,USA
ADS,,Advertising II,,A Collaborative Transfer Learning Framework for Cross-Domain Recommendation,https://arxiv.org/pdf/2306.16425.pdf,,,Meituan,China
ADS,,Advertising II,,ReLoop2: Building Self-Adaptive Recommendation Models via Responsive Error Compensation Loop,https://arxiv.org/pdf/2306.08808.pdf,,,Huawei Noah’s Ark Lab,China
ADS,,Language Models I,,BERT4CTR: An Efficient Framework to Combine Pre-trained Language Model with Non-Textual Features for CTR Prediction,https://dl.acm.org/doi/pdf/10.1145/3580305.3599780,,https://www.youtube.com/watch?v=26xYd3QDYEQ,"STCA, Microsoft Corporation",China
ADS,,Language Models I,,QUERT: Continual Pre-training of Language Model for Query Understanding in Travel Domain Search,,,,,
ADS,,Language Models I,,GLM-Dialog: Noise-tolerant Pre-Training for Knowledge-Grounded Dialogue Generation,,,,,
ADS,,Language Models I,,JiuZhang 2.0: A Unified Chinese Pre-trained Language Model for Multi-task Mathematical Problem Solving,,,,,
ADS,,Language Models I,,From Human Days to Machine Seconds: Automatically Answering and Generating Machine Learning Final Exams,,,,,
ADS,,Language Models I,,Graph-Aware Language Model Pre-Training on a Large Graph Corpus Can Help Multiple Graph Applications,,,,,
ADS,,Recommendation Systems II,,Variance Reduction Using In-Experiment Data: Efficient and Targeted Online Measurement for Sparse and Delayed Outcomes,https://dl.acm.org/doi/pdf/10.1145/3580305.3599928,,,Airbnb,USA
ADS,,Recommendation Systems II,,Fresh Content Needs More Attention: Multi-Funnel Fresh Content Recommendation,https://arxiv.org/pdf/2306.01720.pdf,,https://www.youtube.com/watch?v=JF1COzfSiLs,Google,USA
ADS,,Recommendation Systems II,,VRDU: A Benchmark for Visually-Rich Document Understanding,https://arxiv.org/pdf/2211.15421.pdf,,https://www.youtube.com/watch?v=BLUWuo-at5o,Google,USA
ADS,,Recommendation Systems II,,PGLBox: Multi-GPU Graph Learning Framework for Web-Scale Recommendation,,,https://www.youtube.com/watch?v=LClNDNnNA7g,Baidu Inc.,China
ADS,,Recommendation Systems II,,Counterfactual Video Recommendation for Duration Debiasing,https://dl.acm.org/doi/pdf/10.1145/3580305.3599797,,,,
ADS,,Recommendation Systems II,,Exploiting Intent Evolution in E-commercial Query Recommendation,https://assets.amazon.science/73/1b/ed83221c4ba7914b93a8af32fb0d/exploiting-intent-evolution-in-e-commercial-query-recommendation.pdf,,https://www.youtube.com/watch?v=WEF2Cppz4L0,Amazon,USA
ADS,,Recommendation Systems II,,Workplace Recommendation with Temporal Network Objectives,https://dl.acm.org/doi/pdf/10.1145/3580305.3599932,,https://www.youtube.com/watch?v=5OWlKb81NlE,Microsoft,USA
ADS,,Big Data and Machine Learning,,Stabilising Job Survival Analysis for Disability Employment Services in Unseen Environments,,,,,
ADS,,Big Data and Machine Learning,,Influence Maximization with Fairness at Scale,,,,,
ADS,,Big Data and Machine Learning,,Rover: An Online Spark SQL Tuning Service via Generalized Transfer Learning,,,,,
ADS,,Big Data and Machine Learning,,Yggdrasil Decision Forests: A Fast and Extensible Decision Forests Library,,,,,
ADS,,Big Data and Machine Learning,,Time-to-Event Modeling with Hypernetwork based Hawkes Process,,,,,
ADS,,Big Data and Machine Learning,,Augmenting Rule-based DNS Censorship Detection at Scale with Machine Learning,,,,,
ADS,,Big Data and Machine Learning,,Auto-Validate by-History: Auto-Program Data Quality Constraints to Validate Recurring Data Pipelines,,,,,
ADS,,Language Models II,,End-to-End Query Term Weighting,,,,,
ADS,,Language Models II,,UnifieR: A Unified Retriever for Large-Scale Retrieval,,,,,
ADS,,Language Models II,,RecruitPro: A Pretrained Language Model with Skill-Aware Prompt Learning for Intelligent Recruitment,,,,,
ADS,,Language Models II,,Binary Classifier Evaluation on Unlabeled Segments using Inverse Distance Weighting with Distance Learning,,,,,
ADS,,Language Models II,,Revisiting Hate Speech Benchmarks: From Data Curation to System Deployment,,,,,
